gene	SRR3581356	SRR3581681	SRR3581703	SRR3581727	SRR3581836	SRR3581847	SRR3581866	SRR3581867	SRR3581869	SRR3581889	SRR3581893	SRR3581894
AT4G11610.1	7.001119	0.000000	0.000000	0.000000	4.331707	0.000000	0.000000	0.080844	0.000000	0.000000	0.000000	6.455111
AT4G17160.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT4G17170.1	72.687592	100.965836	38.386955	23.476362	75.133018	106.047386	40.306358	35.579205	45.836575	26.341511	25.175171	50.475132
AT4G17530.1	115.431061	85.536835	60.392990	62.537560	112.285240	93.703033	80.833298	86.497246	64.450241	61.908207	68.471390	103.232544
AT4G20280.1	25.497932	22.478783	18.876947	32.191029	27.477333	24.882351	24.632515	25.821089	19.674490	33.878567	21.028275	17.842344
AT4G21120.1	0.683783	1.160858	0.054880	14.235279	0.919601	0.583286	30.216614	3.859880	0.000000	14.604523	1.883628	5.945604
AT4G22010.1	98.872116	0.940702	70.247978	51.590054	78.952324	1.386294	73.015991	78.067863	71.217094	59.179344	6.218245	70.442413
AT4G23520.1	0.000000	0.000000	0.000000	0.540586	0.000000	0.000000	0.000000	0.000000	0.000000	0.365718	0.000000	0.000000
AT4G26270.1	8.310861	20.545101	15.607099	12.957113	6.882621	18.565073	22.717491	26.969780	15.842677	11.875938	3.186882	2.393838
AT4G26530.2	0.000000	152.703079	180.921265	0.000000	0.000000	178.738297	0.000000	4.059559	168.923721	0.000000	0.000000	0.000000
AT4G27110.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT4G27130.1	168.811279	294.543732	135.097290	147.467804	167.066864	331.742340	151.933670	147.470413	149.220490	148.174301	204.652496	148.156784
AT4G27650.1	0.000000	8.037702	4.637229	9.141429	9.254635	8.255460	9.857535	9.854836	9.405782	0.000000	0.000000	6.885911
AT4G27730.1	2.157860	0.000000	5.314947	0.000000	2.628755	0.000000	7.575872	6.182946	5.985135	8.397651	45.945797	23.982670
AT4G27920.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT4G28510.1	42.060970	18.708479	37.864693	50.127510	41.699780	19.016436	36.622955	50.009995	40.330238	48.194370	163.900864	47.636345
AT4G29900.1	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
AT4G32520.1	26.158190	0.584030	59.619396	20.015476	8.024340	4.000130	35.340233	43.159714	53.259018	16.934830	127.031319	59.081112
AT4G33070.1	4.626674	0.521186	0.248781	0.880774	6.572148	0.625843	1.390674	7.883341	0.076882	1.088591	22.097240	31.314480
AT4G33270.1	15.958429	1.326243	25.226883	61.904354	20.119902	2.147510	34.203831	35.167366	21.662968	35.115612	0.000000	3.153995
AT4G34370.1	10.407332	11.548074	6.426844	12.987948	0.000000	8.642694	8.014595	5.121133	8.703802	12.066242	2.756125	7.626471
AT4G35640.1	1.297384	1.317965	2.549659	1.735880	1.947835	1.283509	2.557050	4.249001	3.094279	1.932382	0.756155	0.741665
AT4G35860.1	8.269315	45.321213	30.191851	30.281052	11.390718	49.390213	25.505997	29.488926	27.721920	30.101637	15.836436	13.032787
AT4G36880.1	1.556188	0.058983	2.900154	9.975088	1.187905	0.056561	4.569831	4.289566	2.955199	11.272317	2157.360107	3027.569580
AT4G37490.1	10.054025	0.000000	11.499102	38.905048	11.241700	0.405437	32.105244	30.276388	12.397037	39.479984	4.256358	3.762675
AT4G37930.1	11.997217	605.561584	671.179138	41.127419	10.282196	614.060974	220.410721	159.544159	650.484619	30.996807	22.478287	114.409042
AT4G37970.1	6.017912	5.044907	1.602514	0.088855	7.492084	0.576810	0.272759	0.492363	0.673842	0.035091	0.000000	0.000000
AT4G38970.1	4.788634	402.614075	889.418701	52.092602	2.696480	393.356506	316.806366	267.583588	849.906921	45.644455	38.804543	289.668915
AT4G39650.1	0.000000	0.000000	0.000000	1.817748	0.000000	0.000000	0.265579	0.000000	0.000000	1.886700	0.000000	0.000000
AT4G40030.2	22.543148	2.767880	20.620052	47.173138	42.843609	2.089209	31.674240	28.764887	19.715958	44.868484	3.083420	5.388183
AT5G01970.1	2.266273	0.322553	0.000000	0.316661	1.641732	0.645932	0.000000	0.000000	0.200640	0.917320	0.000000	0.492650
AT5G04370.2	1.622153	0.071212	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048962
AT5G08670.1	251.604355	94.062195	176.401566	188.357941	264.026917	95.823296	135.344818	164.257843	170.869522	200.052200	275.827850	446.771667
AT5G09700.1	0.400398	0.225921	0.055807	0.132040	0.138298	0.106512	0.293806	0.344819	0.000000	0.077381	0.000000	0.033946
AT5G12380.1	0.000000	0.300950	0.000000	25.550583	0.000000	0.068792	0.000000	0.000000	0.000000	22.744358	0.000000	0.000000
